"substudy_num","alpha_old","beta_old","alpha_var_old","beta_var_old","alpha","beta","alpha_variance","beta_variance","alpha_diff","beta_diff","alpha_var_diff","beta_var_diff","alpha_pct_change","beta_pct_change","alpha_var_pct_change","beta_var_pct_change"
172,0.0142424242424248,0.00186281175757576,1.0045410754395e-05,7.03410251333313e-07,0.0142424242424248,0.00186281175757576,1.15692535517601e-05,1.01291076191997e-06,0,0,1.5238427973651e-06,3.09500510586657e-07,0,0,15.1695419378118,43.9999999374475
173,0.0126262626262634,0.00104565481818182,1.12213260459567e-05,8.27040065575982e-07,0.0126262626262634,0.00104565481818182,1.3014082278151e-05,1.21511855364699e-06,0,0,1.7927562321943e-06,3.88078488071008e-07,0,0,15.9763313595233,46.9237832306827
174,0.0345454545454545,-0.00262258133333333,1.21011045673118e-05,1.64146266430958e-06,0.0345454545454545,-0.00262258133333333,1.49396352682862e-05,2.56478541298373e-06,0,0,2.8385307009744e-06,9.2332274867415e-07,0,0,23.4567901215186,56.2499999657325
175,1e-15,0.0184126467878788,NA,5.70685571134361e-05,1e-15,0.0184126467878788,3.21368154215566e-05,9.6445861521707e-05,0,0,NA,3.93773044082709e-05,0,0,NA,68.9999999987909
185,0.00191919191919254,0.0035050505050505,1.59522105475748e-07,4.37793727837018e-06,0.00191919191919254,0.0035050505050505,1.91891315223688e-07,6.74650025299376e-06,0,0,3.236920974794e-08,2.36856297462358e-06,0,0,20.2913630361702,54.102259202862
186,1e-15,0.402285856565657,NA,0.775529836927762,1e-15,0.402285856565657,1.59522105475799e-05,2.5637349981083,0,0,NA,1.78820516118054,0,0,NA,230.578512396693
187,1e-15,0.0232323232323232,NA,9.58792592329124e-05,1e-15,0.0232323232323232,2.39698148082185e-07,0.000174739949951983,0,0,NA,7.88606907190706e-05,0,0,NA,82.2499999991423
188,0.00681818181818255,0.00977777777777778,1.83010532036491e-06,0.000171013174936335,0.00681818181818255,0.00977777777777778,2.3903416429256e-06,0.000437793727837018,0,0,5.6023632256069e-07,0.000266780552900683,0,0,30.6122448812323,155.999999999088
189,1e-15,0.00490909090909091,NA,9.04086967895608e-07,1e-15,0.00490909090909091,1.52981865147047e-08,1.23915310769273e-06,0,0,NA,3.35066139797122e-07,0,0,NA,37.0612730107618
190,0.00343434343434426,0.0909081212121212,4.24949625408988e-06,0.0134456807052402,0.00343434343434426,0.0909081212121212,5.61995879603386e-06,0.034420942605415,0,0,1.37046254194398e-06,0.0209752619001748,0,0,32.2499999924107,155.999999999989
191,0.0105555555555556,-0.00618181818181818,2.60308204914619e-07,1.23915310769273e-06,0.0105555555555556,-0.00618181818181818,3.21368154215579e-07,2.20293885812041e-06,0,0,6.105994930096e-08,9.6378575042768e-07,0,0,23.4567900333452,77.777777715011
192,1e-15,0.949494949494949,NA,14.4653914863297,1e-15,0.949494949494949,3.36141793536431e-05,51.6110881425839,0,0,NA,37.1456966562542,0,0,NA,256.790123456791
193,0.00681818181818255,7.68080808080808e-05,1.34456717414565e-06,5.50581743288696e-09,0.00681818181818255,7.68080808080808e-05,1.65995947425389e-06,7.03578938493684e-09,0,0,3.1539230010824e-07,1.52997195204988e-09,0,0,23.4567901060113,27.7882747260818
194,0.0026262626262635,0.000910638484848485,NA,2.04094538885316e-08,0.0026262626262635,0.000910638484848485,2.71967760261752e-06,2.26143533390932e-08,0,0,NA,2.2048994505616e-09,0,0,NA,10.8033235703937
197,1e-15,0.00366618945454545,NA,4.81221742072895e-07,1e-15,0.00366618945454545,1.30140822781502e-05,6.28534520258475e-07,0,0,NA,1.4731277818558e-07,0,0,NA,30.6122448343456
198,0.0205050505050512,0.00744418092929293,6.29881582262517e-05,4.3858214677629e-06,0.0205050505050512,0.00744418092929293,6.88444952514197e-05,6.9978758045192e-06,0,0,5.85633702516801e-06,2.6120543367563e-06,0,0,9.29752066100938,59.5567866900218
209,1e-15,0.00954545454545454,NA,1.91891315223765e-07,1e-15,0.00954545454545454,2.39034164287799e-12,2.15130747863322e-07,0,0,NA,2.3239432639557e-08,0,0,NA,12.1107265804866
212,1e-15,0.12959595959596,NA,0.00160346507749105,1e-15,0.12959595959596,0.00130140822781513,0.00245791925710646,0,0,NA,0.00085445417961541,0,0,NA,53.2879818593771
214,0.136363636363637,0.0525245151515152,0.00121011045673118,0.000774478437034242,0.136363636363637,0.0525245151515152,0.00149396352682862,0.00122811669850697,0,0,0.00028385307009744,0.000453638261472728,0,0,23.4567901234376,58.5733882029417
215,1e-15,0.111818181818182,NA,0.000698959799807931,1e-15,0.111818181818182,0.00112213260459571,0.00102423749057727,0,0,NA,0.000325277690769339,0,0,NA,46.5373961218167
220,0.257575757575758,0.0370490581818182,0.00406731570179091,0.000745274931894343,0.257575757575758,0.0370490581818182,0.00484044182692472,0.00152096924876397,0,0,0.000773126125133809,0.000775694316869627,0,0,19.0082644628052,104.081632652922
221,0.141414141414142,-0.0182630163636364,0.00321368154215578,0.00072957443500818,0.141414141414142,-0.0182630163636364,0.0106237406352257,0.00261919243149751,0,0,0.00741005909306992,0.00188961799648933,0,0,230.578512396622,259.002770082747
222,1e-15,0.0313112041919192,NA,5.28819255361943e-05,1e-15,0.0313112041919192,0.000988273472591856,7.61499727721198e-05,0,0,NA,2.32680472359255e-05,0,0,NA,43.999999999168
223,1e-15,0.0113641126666667,NA,7.04140025941362e-06,1e-15,0.0113641126666667,0.000271967760261774,9.19693095107085e-06,0,0,NA,2.15553069165723e-06,0,0,NA,30.6122448936117
224,0.260606060606061,-0.0282424242424242,0.000537826869658304,3.65437820712138e-05,0.260606060606061,-0.0282424242424242,0.000774470692307958,7.28346659966061e-05,0,0,0.000236643822649654,3.62908839253923e-05,0,0,43.9999999999183,99.3079584747913
225,0.00454545454545536,6.51818181818182e-05,5.97585410731401e-07,2.47230406752008e-10,0.00454545454545536,6.51818181818182e-05,5.97585410731401e-07,2.47230406752008e-10,0,0,0,0,0,0,0,0
226,0.00545454545454609,0.000384848484848485,7.90306705692235e-07,3.16122682276936e-10,0.00545454545454609,0.000384848484848485,8.6052299145317e-07,3.44209196581314e-10,0,0,7.0216285760935e-08,2.8086514304378e-11,0,0,8.88468807949506,8.884659985636
244,0.0056056057,0.0165665665665666,5.17332953465021e-05,0.000287516219255624,0.0056056057,0.0165665665665666,5.17332953465021e-05,0.000287516219255624,0,0,0,0,0,0,0,0
245,0.0034034035,0.0012012012012012,5.68125928709743e-06,5.45065148876219e-07,0.0034034035,0.0012012012012012,5.68125928709743e-06,5.45065148876219e-07,0,0,0,0,0,0,0,0
246,1e-10,0.00245245245245245,1.27725005872763e-06,22768266.6354432,1e-10,0.00245245245245245,1.27725005872763e-06,22768266.6354432,0,0,0,0,0,0,0,0
248,1e-15,0.0611111111111111,NA,2.37181649519312e-05,1e-15,0.0611111111111111,2.71967760261235e-08,2.9281685125841e-05,0,0,NA,5.5635201739098e-06,0,0,NA,23.4567901224679
249,1e-15,0.0124365546666667,NA,6.44329779940645e-06,1e-15,0.0124365546666667,0.000280533151148928,9.27834883114528e-06,0,0,NA,2.83505103173883e-06,0,0,NA,43.999999993171
250,1e-10,0.0001001001001001,1.12592105064336e-09,1128.17669405661,1e-10,0.0001001001001001,1.12592105064336e-09,1128.17669405661,0,0,0,0,0,0,0,0
251,0.0436363636363645,0.00828282828282827,0.000185108056828172,0.00182086664991515,0.0436363636363645,0.00828282828282827,0.000258539352098852,0.00310362224511001,0,0,7.343129527068e-05,0.00128275559519486,0,0,39.6694214873891,70.4475308641591
